Horodateur,Votre âge,Sexe,Combien de temps passez-vous en moyenne sur les réseaux sociaux par jour ?,"Combien de temps passez-vous en moyenne sur les plateformes de streaming (Netflix, YouTube, prime video etc.) par jour ?",Combien de temps passez-vous en moyenne dans les jeux vidéos par jour ?,Quelle est votre plateforme préférée ?,Quel appareil électronique utilisez-vous d'habitude ?
27/03/2025 09:59:44,18 - 25 ans,Femme,15 minutes - 45 minutes,15 minutes - 45 minutes,moins de 15 minutes,YouTube,Smartphone
27/03/2025 10:00:42,18 - 25 ans,Femme,4 heures - 8 heures,45 minutes - 2 heures,moins de 15 minutes,Facebook,Smartphone
27/03/2025 10:05:26,18 - 25 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 10:20:22,18 - 25 ans,Femme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone
27/03/2025 10:25:43,18 - 25 ans,Femme,45 minutes - 2 heures,2 heures - 4 heures,15 minutes - 45 minutes,WhatsApp,Smartphone
27/03/2025 10:26:53,18 - 25 ans,Femme,45 minutes - 2 heures,2 heures - 4 heures,15 minutes - 45 minutes,WhatsApp,Smartphone
27/03/2025 10:41:28,18 - 25 ans,Homme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,WhatsApp,Smartphone
27/03/2025 10:56:44,18 - 25 ans,Femme,plus de 8 heures,45 minutes - 2 heures,15 minutes - 45 minutes,Facebook,Smartphone
27/03/2025 11:49:13,18 - 25 ans,Homme,15 minutes - 45 minutes,moins de 15 minutes,plus de 8 heures,Facebook,Smartphone
27/03/2025 11:50:51,18 - 25 ans,Je ne souhaite pas le préciser,2 heures - 4 heures,45 minutes - 2 heures,moins de 15 minutes,YouTube,Smartphone
27/03/2025 12:19:16,18 - 25 ans,Homme,plus de 8 heures,4 heures - 8 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 12:19:45,18 - 25 ans,Femme,4 heures - 8 heures,45 minutes - 2 heures,moins de 15 minutes,TikTok,Smartphone
27/03/2025 12:21:19,18 - 25 ans,Homme,4 heures - 8 heures,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone
27/03/2025 12:30:12,18 - 25 ans,Femme,plus de 8 heures,4 heures - 8 heures,moins de 15 minutes,YouTube,Smartphone
27/03/2025 12:37:36,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone
27/03/2025 12:42:11,18 - 25 ans,Homme,2 heures - 4 heures,15 minutes - 45 minutes,2 heures - 4 heures,Instagram,Smartphone
27/03/2025 12:42:43,25 - 30 ans,Femme,plus de 8 heures,plus de 8 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 12:44:14,18 - 25 ans,Femme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,Instagram,Smartphone
27/03/2025 12:45:18,plus de 28 ans,Homme,15 minutes - 45 minutes,moins de 15 minutes,moins de 15 minutes,WhatsApp,Ordinateur
27/03/2025 13:17:11,18 - 25 ans,Femme,4 heures - 8 heures,moins de 15 minutes,moins de 15 minutes,TikTok,Smartphone
27/03/2025 13:23:35,18 - 25 ans,Femme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,YouTube,Smartphone
27/03/2025 13:25:02,18 - 25 ans,Femme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,YouTube,Smartphone
27/03/2025 14:05:30,Moins de 18 ans,Femme,15 minutes - 45 minutes,2 heures - 4 heures,moins de 15 minutes,YouTube,Smartphone
27/03/2025 14:08:56,Moins de 18 ans,Femme,15 minutes - 45 minutes,plus de 8 heures,moins de 15 minutes,Netflix ,Smartphone
27/03/2025 14:09:48,Moins de 18 ans,Femme,moins de 15 minutes,plus de 8 heures,moins de 15 minutes,Netflix ,Smartphone
27/03/2025 14:17:32,18 - 25 ans,Femme,45 minutes - 2 heures,2 heures - 4 heures,moins de 15 minutes,YouTube,Tablette
27/03/2025 14:50:34,18 - 25 ans,Femme,2 heures - 4 heures,4 heures - 8 heures,moins de 15 minutes,Netflix ,Smartphone
27/03/2025 15:34:00,18 - 25 ans,Femme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,TikTok,Smartphone
27/03/2025 16:12:46,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 16:30:05,18 - 25 ans,Femme,plus de 8 heures,2 heures - 4 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 16:32:08,18 - 25 ans,Homme,2 heures - 4 heures,moins de 15 minutes,moins de 15 minutes,LinkedIn,"Smartphone, Ordinateur"
27/03/2025 16:36:00,18 - 25 ans,Je ne souhaite pas le préciser,4 heures - 8 heures,15 minutes - 45 minutes,45 minutes - 2 heures,Instagram,Smartphone
27/03/2025 16:42:02,18 - 25 ans,Homme,15 minutes - 45 minutes,45 minutes - 2 heures,4 heures - 8 heures,Instagram,"Ordinateur, Casque virtuelle"
27/03/2025 16:43:47,30 - 40 ans,Femme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur"
27/03/2025 16:48:38,18 - 25 ans,Homme,15 minutes - 45 minutes,15 minutes - 45 minutes,moins de 15 minutes,Instagram,Smartphone
27/03/2025 16:53:40,30 - 40 ans,Femme,45 minutes - 2 heures,4 heures - 8 heures,15 minutes - 45 minutes,Snapchat,"Smartphone, Tablette"
27/03/2025 16:55:12,18 - 25 ans,Homme,2 heures - 4 heures,15 minutes - 45 minutes,4 heures - 8 heures,YouTube,Ordinateur
27/03/2025 16:57:48,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,15 minutes - 45 minutes,TikTok,Smartphone
27/03/2025 17:02:43,25 - 30 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,15 minutes - 45 minutes,Facebook,Smartphone
27/03/2025 17:28:18,18 - 25 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,moins de 15 minutes,WhatsApp,"Smartphone, Ordinateur"
27/03/2025 17:48:06,18 - 25 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 18:32:13,Moins de 18 ans,Femme,plus de 8 heures,4 heures - 8 heures,15 minutes - 45 minutes,YouTube,Smartphone
27/03/2025 18:34:47,18 - 25 ans,Femme,plus de 8 heures,15 minutes - 45 minutes,moins de 15 minutes,TikTok,"Smartphone, Ordinateur"
27/03/2025 18:35:56,25 - 30 ans,Homme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone
27/03/2025 18:36:34,25 - 30 ans,Homme,45 minutes - 2 heures,2 heures - 4 heures,2 heures - 4 heures,WhatsApp,Ordinateur
27/03/2025 18:45:49,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone
27/03/2025 19:04:25,18 - 25 ans,Homme,15 minutes - 45 minutes,plus de 8 heures,moins de 15 minutes,TikTok,"Smartphone, Ordinateur"
27/03/2025 19:08:19,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone
27/03/2025 20:05:57,18 - 25 ans,Homme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,WhatsApp,Smartphone
27/03/2025 20:58:53,25 - 30 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur"
27/03/2025 22:18:44,Moins de 18 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,"Youtube, Tiktok, Snapchat, Facebook, Whatsapp","Smartphone, Ordinateur, Tablette"
27/03/2025 22:19:55,18 - 25 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur, Tablette"
28/03/2025 01:37:54,25 - 30 ans,Homme,plus de 8 heures,4 heures - 8 heures,15 minutes - 45 minutes,YouTube,Smartphone
28/03/2025 10:08:16,18 - 25 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,X (Twitter),Smartphone
28/03/2025 14:25:24,30 - 40 ans,Femme,45 minutes - 2 heures,45 minutes - 2 heures,moins de 15 minutes,Instagram,Tablette
28/03/2025 14:26:17,40 et plus,Homme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,TikTok,Smartphone
28/03/2025 14:27:25,25 - 30 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,Telegram,"Ordinateur, Tablette"
28/03/2025 14:28:12,40 et plus,Homme,moins de 15 minutes,15 minutes - 45 minutes,45 minutes - 2 heures,X (Twitter),"Ordinateur, Casque virtuelle"
28/03/2025 14:28:51,30 - 40 ans,Femme,45 minutes - 2 heures,2 heures - 4 heures,2 heures - 4 heures,LinkedIn,Ordinateur
28/03/2025 14:30:01,18 - 25 ans,Homme,15 minutes - 45 minutes,4 heures - 8 heures,4 heures - 8 heures,Facebook,"Ordinateur, Casque virtuelle, Console de Jeu"
28/03/2025 14:31:16,30 - 40 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,15 minutes - 45 minutes,WhatsApp,"Smartphone, Tablette"
28/03/2025 14:32:08,40 et plus,Homme,moins de 15 minutes,15 minutes - 45 minutes,moins de 15 minutes,X (Twitter),"Ordinateur, Television"
28/03/2025 14:33:06,Moins de 18 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,4 heures - 8 heures,Telegram,"Smartphone, Ordinateur, Console de Jeu"
28/03/2025 14:34:01,30 - 40 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,45 minutes - 2 heures,LinkedIn,"Smartphone, Casque virtuelle"
