horodateur,age,sexe,temps_reseaux,temps_streaming,temps_jeux,plateforme_preferee,appareils_utilises,temps_reseaux_mns,temps_streaming_mns,temps_jeux_mns
2025-03-27 18:35:56,25 - 30 ans,Homme,plus de 8 heures,moins de 15 minutes,moins de 15 minutes,WhatsApp,Smartphone,600.0,7.5,7.5
2025-03-27 18:36:34,25 - 30 ans,Homme,45 minutes - 2 heures,2 heures - 4 heures,2 heures - 4 heures,WhatsApp,Ordinateur,82.5,180.0,180.0
2025-03-27 18:45:49,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone,180.0,180.0,7.5
2025-03-27 19:04:25,18 - 25 ans,Homme,15 minutes - 45 minutes,plus de 8 heures,moins de 15 minutes,TikTok,"Smartphone, Ordinateur",30.0,600.0,7.5
2025-03-27 19:08:19,18 - 25 ans,Femme,2 heures - 4 heures,2 heures - 4 heures,moins de 15 minutes,Instagram,Smartphone,180.0,180.0,7.5
2025-03-27 20:05:57,18 - 25 ans,Homme,15 minutes - 45 minutes,15 minutes - 45 minutes,15 minutes - 45 minutes,WhatsApp,Smartphone,30.0,30.0,30.0
2025-03-27 20:58:53,25 - 30 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur",82.5,82.5,7.5
2025-03-27 22:18:44,Moins de 18 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,"Youtube, Tiktok, Snapchat, Facebook, Whatsapp","Smartphone, Ordinateur, Tablette",360.0,360.0,7.5
2025-03-27 22:19:55,18 - 25 ans,Femme,4 heures - 8 heures,4 heures - 8 heures,moins de 15 minutes,YouTube,"Smartphone, Ordinateur, Tablette",360.0,360.0,7.5
2025-03-28 01:37:54,25 - 30 ans,Homme,plus de 8 heures,4 heures - 8 heures,15 minutes - 45 minutes,YouTube,Smartphone,600.0,360.0,30.0
2025-03-28 10:08:16,18 - 25 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,X (Twitter),Smartphone,600.0,82.5,7.5
2025-03-28 14:25:24,30 - 40 ans,Femme,45 minutes - 2 heures,45 minutes - 2 heures,moins de 15 minutes,Instagram,Tablette,82.5,82.5,7.5
2025-03-28 14:26:17,40 et plus,Homme,15 minutes - 45 minutes,45 minutes - 2 heures,moins de 15 minutes,TikTok,Smartphone,30.0,82.5,7.5
2025-03-28 14:27:25,25 - 30 ans,Femme,plus de 8 heures,45 minutes - 2 heures,moins de 15 minutes,Telegram,"Ordinateur, Tablette",600.0,82.5,7.5
2025-03-28 14:28:12,40 et plus,Homme,moins de 15 minutes,15 minutes - 45 minutes,45 minutes - 2 heures,X (Twitter),"Ordinateur, Casque virtuelle",7.5,30.0,82.5
2025-03-28 14:28:51,30 - 40 ans,Femme,45 minutes - 2 heures,2 heures - 4 heures,2 heures - 4 heures,LinkedIn,Ordinateur,82.5,180.0,180.0
2025-03-28 14:30:01,18 - 25 ans,Homme,15 minutes - 45 minutes,4 heures - 8 heures,4 heures - 8 heures,Facebook,"Ordinateur, Casque virtuelle, Console de Jeu",30.0,360.0,360.0
2025-03-28 14:31:16,30 - 40 ans,Homme,45 minutes - 2 heures,15 minutes - 45 minutes,15 minutes - 45 minutes,WhatsApp,"Smartphone, Tablette",82.5,30.0,30.0
2025-03-28 14:32:08,40 et plus,Homme,moins de 15 minutes,15 minutes - 45 minutes,moins de 15 minutes,X (Twitter),"Ordinateur, Television",7.5,30.0,7.5
2025-03-28 14:33:06,Moins de 18 ans,Homme,2 heures - 4 heures,45 minutes - 2 heures,4 heures - 8 heures,Telegram,"Smartphone, Ordinateur, Console de Jeu",180.0,82.5,360.0
2025-03-28 14:34:01,30 - 40 ans,Homme,45 minutes - 2 heures,45 minutes - 2 heures,45 minutes - 2 heures,LinkedIn,"Smartphone, Casque virtuelle",82.5,82.5,82.5
